username,message
juliabroome,"""hey julia"
slushy_mcgee,"""hey slushy"
johnharemza,"""hey john"
wiseelliot,"""hey elliot"
creatoearn,"""hey janosch"
jmossmentality,"""hey jordan"
hormozi.wisdom,"""hey hormozi"
itsliamchristopher,"""hey liam"
beatalipska_,"""hey bea"
denny_dure,"""hey dennis"
sarahecoomer,"""hey sarah"
revivalcoachbryan,"""hey bryan"
ryanmoresbywhite,"""hey ryan"
gannon.meyer,"""hey gannon"
learnelectroculture,"""hey spence"
simonsquibb,"""hey simon"
veranothing,"""hey vera"
jack.p.landry,"""hey jack"
marisapeertherapy,"""hey marisa"
anotherlukeadams,"""hey luke"
onnitgymatx,"""hey onnit"
edjcsmith,"""hey ed"
naftalimoses,"""hey naftali"
bythatgrl,"""hey vale"
coacherin.fit,"""hey erin"
thecreative.social,"""hey dajung"
gbaby00,"""hey garrett"
dom_nutrition,"""hey dominic"
carlyloveskale,"""hey carly"
eddygee,"""hey eddy"
austin.rabin,"""hey austin"
skybearb,"""hey sky"
fitwithraphi,"""hey raphi"
danmartell,"""hey dan"
cera.jacob,"""hey jacob"
bigmona89,"""hey mona"
tom__youngs,"""hey tom"
the.holistic.mumma,"""hey kelsey"
carolinatorica,"""hey carolina"
thinbluelinemama,"""hey tania"
amy_demos,"""hey amy"
mommamadeline,"""hey madeline"
belmaruncensored,"""hey belmar"
certifiedhealthnut,"""hey troy"
timon.kriek,"""hey timon"
thepositivelady,"""hey sabrina"
beggiolafs,"""hey emma"
mikhailapeterson,"""hey mikhaila"
wildmindscommunity,"""hey billy"
lazymillionaire,"""hey amie"
petercrone,"""hey peter"
maria.wendt,"""hey maria"
femininely_susie,"""hey susie"
rivkahkrinsky,"""hey rivkah"
francescapsychology,"""hey francesca"
grahambrothers,"""hey graham"
chelskolifestyle,"""hey chelsko"
jordanwainwright_,"""hey jordan"
yona_shavin,"""hey yona"
austin.rabin,"""hey austin"
mikhailapeterson,"""hey mikhaila"
wildmindscommunity,"""hey billy"
alphamotivation0,"""hey alpha"
cvcwellness,"""hey christian"
jack.p.landry,"""hey jack"
cvcwellness,"""hey christian"
andrei.unlocked,"""hey andrei"
section8karim,"""hey karim"
tribewellnesswarriors,"""hey wellness"
adonis_bjornson,"""hey adonis"
cvcwellness,"""hey christian"
bythatgrl,"""hey vale"
austin.rabin,"""hey austin"
cvcwellness,"""hey christian"
hdliftss,"""hey hannah"
mikhailapeterson,"""hey mikhaila"
marisapeertherapy,"""hey marisa"
wiseelliot,"""hey elliot"
marisahopeee,"""hey marisa"
moneymindedman,"""hey business"
cvcwellness,"""hey christian"
wildmindscommunity,"""hey billy"
establishedfamily,"""hey established"
ananya.ray,"""hey ananya"
emin.labs,"""hey emin"
kapchatfield,"""hey kap"
codiesanchez,"""hey codie"
jakegtv,"""hey white"
jon_jkphysique,"""hey jon"
kalifontanilla,"""hey kali"
prenatalyogacenter,"""hey deb"
tayy.ayralee,"""hey tayler"
rachelkonkel.realtor,"""hey rachel"
successverse_,"""hey success"
